iter	Logloss
0	0.6637412592
1	0.6332907481
2	0.6055477015
3	0.5774824587
4	0.5563564711
5	0.5367356989
6	0.5125708533
7	0.4929472742
8	0.4733585126
9	0.4574619301
10	0.4428386054
11	0.4260611935
12	0.4097505036
13	0.3932332377
14	0.3814016742
15	0.3706504687
16	0.3597918546
17	0.3470466151
18	0.338531106
19	0.3282234207
20	0.3203341191
21	0.3100113542
22	0.3018198032
23	0.2948249473
24	0.2886972745
25	0.2807999404
26	0.2746073803
27	0.2687964691
28	0.2636018518
29	0.2589225694
30	0.2530058919
31	0.2489107434
32	0.2432000147
33	0.2386987914
34	0.2339030525
35	0.2302933187
36	0.2256283695
37	0.2217265986
38	0.2183380724
39	0.2156746075
40	0.211879663
41	0.2084746986
42	0.2052811624
43	0.2022499189
44	0.2001716479
45	0.1977245532
46	0.1956881469
47	0.193423874
48	0.1908182193
49	0.1888988816
50	0.186733746
51	0.1849849275
52	0.1834648864
53	0.1818397955
54	0.1804287009
55	0.1788424288
56	0.1778496072
57	0.1762645893
58	0.1747356198
59	0.1731364181
60	0.1718722827
61	0.1707651247
62	0.1696435589
63	0.1684655266
64	0.1671894171
65	0.1659505736
66	0.1651423206
67	0.1641937674
68	0.1632579348
69	0.1625227359
70	0.1616401448
71	0.1607291265
72	0.1596671028
73	0.1588066534
74	0.1578543377
75	0.1571986279
76	0.1564355988
77	0.155761674
78	0.1551308828
79	0.1547493981
80	0.1538176863
81	0.1531549293
82	0.1525047287
83	0.151880492
84	0.1513534815
85	0.150878966
86	0.1505011691
87	0.1501434237
88	0.1499850876
89	0.1496317317
90	0.149272523
91	0.1488811993
92	0.1483139068
93	0.1479898889
94	0.147542905
95	0.1473646668
96	0.1469735819
97	0.1466047731
98	0.1462188243
99	0.1456603257
100	0.1451911702
101	0.1447448581
102	0.1442774942
103	0.1439591499
104	0.1435181381
105	0.1432172174
106	0.1428353446
107	0.1424954707
108	0.1421778132
109	0.1418037489
110	0.1413283376
111	0.1410435865
112	0.1407581934
113	0.1404836546
114	0.1402793481
115	0.1400633661
116	0.1397907533
117	0.1395220971
118	0.1394939236
119	0.1392656539
120	0.139108348
121	0.1388316892
122	0.1384735555
123	0.1383013492
124	0.1380668536
125	0.1377595875
126	0.1375209861
127	0.1373438527
128	0.1370063827
129	0.1366847089
130	0.136447914
131	0.1361557276
132	0.1358761722
133	0.1356199082
134	0.1353541932
135	0.135068188
136	0.1347615938
137	0.1344754393
138	0.1342322392
139	0.1339902784
140	0.1337701309
141	0.1336576607
142	0.1333792102
143	0.1331929246
144	0.1330450248
145	0.1327745919
146	0.1325711663
147	0.1324236696
148	0.1323060635
149	0.1322028352
150	0.1320140264
151	0.1317971784
152	0.1315426463
153	0.1313252608
154	0.1310580379
155	0.1308563591
156	0.1305895542
157	0.1303533267
158	0.1301991263
159	0.1300066894
160	0.1297533367
161	0.1296395677
162	0.1295226633
163	0.1293107124
164	0.1290887583
165	0.1289537135
166	0.1287008386
167	0.1285253775
168	0.1283602481
169	0.1281450723
170	0.1279761805
171	0.1277922688
172	0.1276830684
173	0.1274916319
174	0.1273474647
